fecha,M1 (datos),M2 (datos),45_degree_line
2017-01-01,3811392752.35,7603905361.09,3811392752.35
2017-02-01,3798023997.55,7587829340.54,3887620607.397
2017-03-01,3783838369.42,7540815124.36,3965373019.54494
2017-04-01,3812359642.5,7555699222.79,4044680479.935839
2017-05-01,3739860927.68,7559946604.3,4125574089.5345554
2017-06-01,3805689580.4,7676700268.54,4208085571.325247
2017-07-01,3822383203.04,7739899619.69,4292247282.751752
2017-08-01,3777435858.4,7698045371.72,4378092228.406787
2017-09-01,3859419791.22,7846367662.41,4465654072.974923
2017-10-01,3920568309.01,7935068634.34,4554967154.434422
2017-11-01,3994732947.19,8061705113.86,4646066497.523109
2017-12-01,4264017581.97,8394065090.48,4738987827.473572
2018-01-01,4075871703.85,8236764222.43,4833767584.023044
2018-02-01,4075774260.99,8262795220.3,4930442935.703505
2018-03-01,4138523788.28,8306747097.2,5029051794.417575
2018-04-01,4142745967.14,8399109746.04,5129632830.305926
2018-05-01,4154520320.45,8467697884.13,5232225486.912045
2018-06-01,4286011488.37,8567406925.37,5336869996.650286
2018-07-01,4173476691.65,8434727583.59,5443607396.583292
2018-08-01,4197524436.42,8506482676.28,5552479544.514957
2018-09-01,4159127404.13,8508985694.16,5663529135.405257
2018-10-01,4204528593.23,8549110646.41,5776799718.113362
2018-11-01,4350488324.33,8701307648.23,5892335712.47563
2018-12-01,4492216319.62,8815667166.35,6010182426.7251425
2019-01-01,4323954421.05,8702653500.0,6130386075.259645
2019-02-01,4306875852.8,8744413483.06,6252993796.764838
2019-03-01,4315849487.16,8826482785.66,6378053672.700135
2019-04-01,4290374415.06,8776012097.96,6505614746.154139
2019-05-01,4338162025.54,8902391031.72,6635727041.077221
2019-06-01,4351788055.2,8934026063.3,6768441581.898766
2019-07-01,4311122441.76,8923500139.27,6903810413.536741
2019-08-01,4390415277.68,9087065056.15,7041886621.807476
2019-09-01,4331168999.26,9045053443.32,7182724354.243626
2019-10-01,4337305969.9,8987117432.09,7326378841.328498
2019-11-01,4511911114.12,9124889411.18,7472906418.155068
2019-12-01,4702035012.05,9326244069.73,7622364546.51817
2020-01-01,4556118434.1,9249820181.36,7774811837.448533
2020-02-01,4600700186.36,9390817005.66,7930308074.197505
2020-03-01,4874195864.95,9750200290.22,8088914235.681454
2020-04-01,5109698027.58,10110403045.33,8250692520.395082
2020-05-01,5157284139.82,10091136508.44,8415706370.802985
2020-06-01,5173582445.51,10111819915.06,8584020498.219046
2020-07-01,5246041226.24,10181464958.89,8755700908.183426
2020-08-01,5244100368.54,10168640163.36,8930814926.347095
2020-09-01,5223455851.02,10123059226.98,9109431224.874037
2020-10-01,5329239333.98,10121155002.45,9291619849.37152
2020-11-01,5384565666.96,10138130754.0,9477452246.358948
2020-12-01,5645704961.07,10375726388.31,9667001291.286127
2021-01-01,5589227605.04,10434950529.83,9860341317.11185
2021-02-01,5581783983.4,10406909431.85,10057548143.454088
2021-03-01,5692423852.13,10516385860.05,10258699106.32317
2021-04-01,5698798441.53,10517260239.6,10463873088.449633
2021-05-01,5717440525.32,10535614830.13,10673150550.218626
2021-06-01,5758688675.28,10609004518.94,10886613561.222998
2021-07-01,5868894949.56,10687510701.45,11104345832.44746
2021-08-01,5854176324.51,10743638440.57,11326432749.096409
2021-09-01,5880840328.4,10767354068.27,11552961404.078337
2021-10-01,5936065869.65,10880791941.99,11784020632.159903
2021-11-01,6105346298.06,11142674014.99,12019701044.803102
2021-12-01,6377133888.75,11409793358.32,12260095065.699163
2022-01-01,6297482085.39,11226064092.12,12505296967.013147
2022-02-01,6368246316.43,11367809830.21,12755402906.35341
2022-03-01,6352134445.5,11373346107.64,13010510964.480478
2022-04-01,6428968873.15,11505044674.99,13270721183.770088
2022-05-01,6419320095.64,11547441760.01,13536135607.445492
2022-06-01,6459704343.15,11641724836.25,13806858319.5944
2022-07-01,6511144564.68,11798166561.24,14082995485.98629
2022-08-01,6447116014.31,11788024400.27,14364655395.706015
2022-09-01,6436513271.79,11886203984.48,14651948503.620136
2022-10-01,6488318838.89,12011680592.18,14944987473.69254
2022-11-01,6602502771.21,12171309335.25,15243887223.16639
2022-12-01,6926065214.59,12515612424.98,15548764967.629719
2023-01-01,6670315372.97,12354753948.2,15859740266.982313
2023-02-01,6639864718.36,12344729453.13,16176935072.321959
2023-03-01,6650740110.32,12427587659.99,16500473773.768398
2023-04-01,6674672356.47,12492380715.3,16830483249.243765
2023-05-01,6679350987.58,12552103030.69,17167092914.228642
2023-06-01,6741457180.83,12748965990.76,17510434772.513214
2023-07-01,6810745353.5,12831420851.97,17860643467.96348
2023-08-01,6811960060.91,12878461469.08,18217856337.32275
2023-09-01,6850744488.66,12986798581.68,18582213464.069206
2023-10-01,6953980120.62,13170781057.5,18953857733.35059
2023-11-01,7109144829.09,13407036973.97,19332934888.0176
2023-12-01,7442319163.22,13656138124.11,19719593585.777954
2024-01-01,7281862183.76,13666992284.62,20113985457.493515
2024-02-01,7422935452.25,13884032685.3,20516265166.643387
2024-03-01,7445688555.91,13929171629.65,20926590469.976254
2024-04-01,7344490797.92,13968494514.17,21345122279.37578
2024-05-01,7417060185.55,14127074876.56,21772024724.963295
2024-06-01,7509316809.57,14292507103.54,22207465219.462563
2024-07-01,7517595351.23,14404271328.37,22651614523.851814
2024-08-01,7612111603.65,14547667523.91,23104646814.328846
2024-09-01,7631420576.65,14630008868.31,23566739750.615425
