"date","Primer cuartil","Mediana","Tercer cuartil"
2023-07-01,4.1,4.49,4.64
2023-08-01,4.09,4.32,4.5
2023-09-01,3.83,4.22,4.4
2023-10-01,4,4.18,4.4
2023-11-01,3.88,4.08,4.28
2023-12-01,NA,NA,NA
2024-01-01,3.68,3.81,3.99
2024-02-01,3.7,3.88,4.03
2024-03-01,3.74,3.96,4.13
2024-04-01,3.62,3.95,4.08
2024-05-01,3.51,3.86,4.04
2024-06-01,3.69,3.88,4.17
2024-07-01,3.46,3.77,3.98
2024-08-01,3.42,3.7,3.88
2024-09-01,3.65,3.8,4.06
2024-10-01,3.69,3.8,4.01
2024-11-01,3.75,3.9,4.06
2024-12-01,NA,NA,NA
2025-01-01,3.74,3.93,4.1
2025-02-01,3.73,3.92,4.1
2025-03-01,3.77,3.92,4.11
2025-04-01,3.61,3.79,3.92
2025-05-01,3.43,3.59,3.77
